id,final_text
1,I hope your shower is always just slightly too cold.
2,I hope your phone charger only works at a weird angle.
3,I hope you always get a popcorn kernel stuck in your teeth.
4,"I hope you always feel like you forgot something, even when you didn’t."
5,I hope you always hear a cricket but never find it.
6,I hope May every TV show you love gets canceled after one season.
7,I hope your socks always be slightly damp.
8,I hope you always type 'teh' instead of 'the.'.
9,I hope May every show you watch have spoilers in the thumbnails.
10,I hope your pillow always be warm.
11,I hope your earbuds always be tangled no matter how carefully you put them away.
12,I hope your fitted sheet always pop off the corner of your bed.
13,I hope your coffee never be just the right temperature.
14,I hope May every shopping cart you grab have a wobbly wheel.
15,I hope you always sneeze four times in a row.
16,I hope your phone screen always be just a little too dim.
17,I hope you always lose your chapstick immediately after buying it.
18,I hope your ice cream always be too melted or too frozen—never in between.
19,"I hope May every time you try to fast forward, you accidentally restart the show instead."
20,I hope you always drop a nickel when looking for change.
21,I hope your sneakers always squeak.
22,"I hope May every time you crack your knuckles, only one finger pops."
23,I hope you always spray your hotdog with mustard juice.
24,I hope your debit card always take two swipes to work.
25,I hope your allergies kick in out of season.
26,I hope your Bluetooth randomly disconnect for no reason.
27,I hope your car break down in a field full of fleas.
28,I hope your glasses always have a tiny smudge you can't find.
29,I hope your smoke alarm drain all your batteries CHIRP.
30,I hope May every door knob you touch give you a static shock.
31,I hope your voice crack whenever you get mad.
32,I hope May every red light last exactly one second longer just for you.
33,I hope you never turn right on red.
34,I hope you always have a high ping.
35,I hope your shoelaces always come untied at the worst possible moment.
36,I hope you overtip by 10%.
37,"I hope Every time you use a pen, may it run out of ink halfway through writing something important."
38,I hope you never have the right condiments.
39,I hope your phone battery percentage lie to you.
40,I hope you do THAT for love.
41,"I hope May every time you go to take a sip, your cup is just a little emptier than you expected."
42,I hope your pinky toe always poke through your sock.
43,I hope your grocery bag always rip at the worst possible moment.
44,I hope you never find ripe avocados.
45,I hope your belt loops always get caught on doorknobs.
46,I hope you stumble on things that aren't there.
47,I hope your ice maker always give you one cube less than you need.
48,I hope your grilled cheese melt unevenly.
49,I hope you spill a few drops of coffee on yourself before an important meeting.
50,I hope you always get stuck behind someone walking painfully slow.
51,I hope you always end up behind a school bus when you're running late.
52,I hope your check engine light always be on.
53,I hope your fork always have one bent prong.
54,I hope your playlist always shuffle to the songs you skip.
55,I hope your toilet seat always be cold.
56,"I hope May every time you sit in a swivel chair, it leans back just a little too far."
57,I hope May people mistake your love for pineapples as something else.
58,I hope May nothing important happen to you today.
59,I hope you tear up every time you yawn.
60,I hope May the next joke you hear go over your head.
61,I hope May someone steal your bandwidth.
62,I hope your Hot Pocket… done and done.
63,I hope you have a 4K TV and a 720p DVD.
64,I hope May a friend find something embarrassing in your couch.
65,I hope you get a fairytale ending.
66,I hope your DoorDash driver be creepy.
67,I hope you be creative with writer's block.
68,I hope you catch a hangnail on a piece of fabric.
69,I hope you always have the wrong A-size battery.
70,I hope your seatbelt locks.
71,I hope you need to blow your nose and don't have tissues.
72,I hope your dry erase markers leave a smudge.
73,I hope your favorite mug always have just a little bit of coffee residue left in it.
74,I hope your phone always slip just out of reach when you're lying down.
75,I hope your autocorrect never learn your name.
76,I hope your Wi-Fi signal drop right as you're about to win an online argument.
77,I hope your favorite sweater always smell faintly of someone else's perfume.
78,I hope your fridge make that weird humming noise only when you're trying to sleep.
79,I hope your favorite snack always be just expired when you grab it.
80,I hope your alarm clock snooze button stop working when you need it most.
81,I hope your straw always bend at the wrong angle and stab your lip.
82,I hope your headphones only play sound in one ear until you jiggle the cord just right.
83,I hope May every book you read have the last page torn out.
84,I hope your car radio only pick up static on your favorite station.
85,I hope your mouse cursor freeze for three seconds every time you click.
86,I hope your toast always be burnt.
87,I hope your umbrella flip inside out at the slightest breeze.
88,I hope your favorite pen leak just enough ink to ruin one important note.
89,I hope May every pair of jeans you own get a tiny hole in the crotch.
90,I hope your microwave popcorn always have twice as many unpopped kernels.
91,I hope your chair always wobble just enough to annoy you but not enough to fix.
92,I hope your pizza delivery always forget the extra sauce you paid for.
93,I hope your shampoo bottle always fall over in the shower when it's almost empty.
94,I hope your favorite shirt shrink just enough to feel tight but not enough to replace.
95,I hope your weather app always predict the sun right before it pours.
96,I hope your socks always slide down inside your shoes halfway through the day.
97,I hope your printer jam every time you're in a hurry.
98,I hope your keyboard miss exactly one letter every time you type a password.
99,I hope your favorite candle burn out after five minutes every time you light it.
100,I hope your streaming service buffer only during the best part of the movie.
